full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,73974,73974,11986,27,27,2,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9614,9614,14659,2,2,0,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,45314,45314,7488,9,9,3,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1737,1737,2593,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,52194,52194,4559,9,9,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,64380,64380,6394,8,8,4,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,36606,36606,3054,5,5,-1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,30212,30212,3392,1,1,0,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,938,938,1224,0,0,1,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,23809,23809,3402,2,2,2,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24243,24243,2809,5,5,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3279,3279,3824,0,0,1,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8606,8606,2057,4,4,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2327,2327,3538,0,0,0,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12267,12267,2028,3,3,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3780,3780,2031,4,4,0,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1488,1488,2906,0,0,2,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,9993,9993,1230,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
ykdojo/claude-code-tips,9603,9603,761,1,1,0,https://github.com/ykdojo/claude-code-tips
frankbria/ralph-claude-code,9597,9597,724,0,0,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2795,2795,2450,0,0,1,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,793,793,1756,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4085,4085,808,1,1,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,6015,6015,565,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,14600,14600,1288,8,8,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
FlorianBruniaux/claude-code-ultimate-guide,5714,5714,749,0,0,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
huangserva/claude-code-cli,623,623,1308,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3883,3883,565,0,0,0,https://github.com/OneRedOak/claude-code-workflows
nicedreamzapp/claude-code-local,3191,3191,608,3,3,1,https://github.com/nicedreamzapp/claude-code-local
anthropics/claude-code-security-review,5854,5854,635,1,1,1,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2492,2492,884,0,0,0,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4557,4557,459,0,0,0,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3727,3727,489,0,0,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1666,1666,644,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
Windy3f3f3f3f/how-claude-code-works,3424,3424,690,0,0,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
alejandrobalderas/claude-code-from-source,2750,2750,749,0,0,1,https://github.com/alejandrobalderas/claude-code-from-source
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8621,8621,452,1,1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,3884,3884,638,0,0,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,925,925,1089,0,0,0,https://github.com/777genius/claude-code-source-code
ding113/claude-code-hub,3313,3313,384,0,0,0,https://github.com/ding113/claude-code-hub
