Month,Department,Account,Budget,Actual
2025-01-01,Sales,Revenue,441000.0,442889.93
2025-01-01,Sales,COGS,185220.0,188047.54
2025-01-01,Sales,Payroll,180000.0,198871.58
2025-01-01,Sales,Software,28000.0,28367.64
2025-01-01,Sales,Travel,16800.0,17162.35
2025-01-01,Sales,Facilities,19000.0,19712.06
2025-01-01,Sales,Other OpEx,24000.0,22966.37
2025-01-01,Marketing,Revenue,156800.0,158592.07
2025-01-01,Marketing,COGS,65856.0,67726.09
2025-01-01,Marketing,Payroll,180000.0,194147.17
2025-01-01,Marketing,Software,28000.0,26287.09
2025-01-01,Marketing,Travel,14000.0,13729.52
2025-01-01,Marketing,Facilities,19000.0,17824.55
2025-01-01,Marketing,Other OpEx,24000.0,25966.29
2025-01-01,R&D,Revenue,117600.0,121505.8
2025-01-01,R&D,COGS,49392.0,49387.95
2025-01-01,R&D,Payroll,252000.0,281342.55
2025-01-01,R&D,Software,39200.0,43627.7
2025-01-01,R&D,Travel,14000.0,14710.98
2025-01-01,R&D,Facilities,19000.0,19819.14
2025-01-01,R&D,Other OpEx,24000.0,22835.97
2025-01-01,Operations,Revenue,98000.0,93276.41
2025-01-01,Operations,COGS,41160.0,39501.94
2025-01-01,Operations,Payroll,180000.0,167743.84
2025-01-01,Operations,Software,28000.0,26825.17
2025-01-01,Operations,Travel,14000.0,13557.44
2025-01-01,Operations,Facilities,19000.0,17594.31
2025-01-01,Operations,Other OpEx,24000.0,24306.89
2025-01-01,G&A,Revenue,68600.0,68796.45
2025-01-01,G&A,COGS,28812.0,29891.02
2025-01-01,G&A,Payroll,180000.0,184288.47
2025-01-01,G&A,Software,28000.0,29345.63
2025-01-01,G&A,Travel,14000.0,14279.36
2025-01-01,G&A,Facilities,19000.0,19997.31
2025-01-01,G&A,Other OpEx,24000.0,24275.18
2025-02-01,Sales,Revenue,445410.0,438007.08
2025-02-01,Sales,COGS,187072.2,192687.18
2025-02-01,Sales,Payroll,180720.0,202250.68
2025-02-01,Sales,Software,28112.0,30587.07
2025-02-01,Sales,Travel,16867.2,17905.58
2025-02-01,Sales,Facilities,19076.0,18752.77
2025-02-01,Sales,Other OpEx,24096.0,23275.13
2025-02-01,Marketing,Revenue,158368.0,155942.56
2025-02-01,Marketing,COGS,66514.56,63540.02
2025-02-01,Marketing,Payroll,180720.0,193959.11
2025-02-01,Marketing,Software,28112.0,28114.25
2025-02-01,Marketing,Travel,14056.0,15311.44
2025-02-01,Marketing,Facilities,19076.0,19024.55
2025-02-01,Marketing,Other OpEx,24096.0,26785.32
2025-02-01,R&D,Revenue,118776.0,124914.01
2025-02-01,R&D,COGS,49885.92,50592.56
2025-02-01,R&D,Payroll,253008.0,243379.4
2025-02-01,R&D,Software,39356.8,43373.33
2025-02-01,R&D,Travel,14056.0,14252.75
2025-02-01,R&D,Facilities,19076.0,21290.19
2025-02-01,R&D,Other OpEx,24096.0,24083.59
2025-02-01,Operations,Revenue,98980.0,94898.52
2025-02-01,Operations,COGS,41571.6,40524.6
2025-02-01,Operations,Payroll,180720.0,194400.9
2025-02-01,Operations,Software,28112.0,27379.83
2025-02-01,Operations,Travel,14056.0,13176.5
2025-02-01,Operations,Facilities,19076.0,18818.8
2025-02-01,Operations,Other OpEx,24096.0,26814.4
2025-02-01,G&A,Revenue,69286.0,72124.29
2025-02-01,G&A,COGS,29100.12,29508.19
2025-02-01,G&A,Payroll,180720.0,175167.85
2025-02-01,G&A,Software,28112.0,26431.16
2025-02-01,G&A,Travel,14056.0,13099.89
2025-02-01,G&A,Facilities,19076.0,20590.72
2025-02-01,G&A,Other OpEx,24096.0,23024.59
2025-03-01,Sales,Revenue,449820.0,457518.86
2025-03-01,Sales,COGS,188924.4,192459.82
2025-03-01,Sales,Payroll,181440.0,173844.36
2025-03-01,Sales,Software,28224.0,30097.48
2025-03-01,Sales,Travel,16934.4,16023.22
2025-03-01,Sales,Facilities,19152.0,20085.53
2025-03-01,Sales,Other OpEx,24192.0,22820.35
2025-03-01,Marketing,Revenue,159936.0,160014.48
2025-03-01,Marketing,COGS,67173.12,65998.02
2025-03-01,Marketing,Payroll,181440.0,176715.12
2025-03-01,Marketing,Software,28224.0,31446.78
2025-03-01,Marketing,Travel,14112.0,15250.59
2025-03-01,Marketing,Facilities,19152.0,18784.84
2025-03-01,Marketing,Other OpEx,24192.0,26537.97
2025-03-01,R&D,Revenue,119952.0,116987.41
2025-03-01,R&D,COGS,50379.84,48994.28
2025-03-01,R&D,Payroll,254016.0,277099.8
2025-03-01,R&D,Software,39513.6,41424.76
2025-03-01,R&D,Travel,14112.0,13266.22
2025-03-01,R&D,Facilities,19152.0,21409.26
2025-03-01,R&D,Other OpEx,24192.0,23288.4
2025-03-01,Operations,Revenue,99960.0,98060.09
2025-03-01,Operations,COGS,41983.2,42366.29
2025-03-01,Operations,Payroll,181440.0,178861.93
2025-03-01,Operations,Software,28224.0,27638.77
2025-03-01,Operations,Travel,14112.0,13190.2
2025-03-01,Operations,Facilities,19152.0,17965.02
2025-03-01,Operations,Other OpEx,24192.0,25076.14
2025-03-01,G&A,Revenue,69972.0,68513.89
2025-03-01,G&A,COGS,29388.24,29190.0
2025-03-01,G&A,Payroll,181440.0,180413.2
2025-03-01,G&A,Software,28224.0,28524.35
2025-03-01,G&A,Travel,14112.0,15690.1
2025-03-01,G&A,Facilities,19152.0,19472.7
2025-03-01,G&A,Other OpEx,24192.0,25036.65
2025-04-01,Sales,Revenue,454230.0,478750.73
2025-04-01,Sales,COGS,190776.6,196957.56
2025-04-01,Sales,Payroll,182160.0,173202.66
2025-04-01,Sales,Software,28336.0,31217.34
2025-04-01,Sales,Travel,17001.6,18422.26
2025-04-01,Sales,Facilities,19228.0,18649.23
2025-04-01,Sales,Other OpEx,24288.0,23266.94
2025-04-01,Marketing,Revenue,161504.0,167759.2
2025-04-01,Marketing,COGS,67831.68,73464.13
2025-04-01,Marketing,Payroll,182160.0,174749.36
2025-04-01,Marketing,Software,28336.0,31453.73
2025-04-01,Marketing,Travel,14168.0,15534.33
2025-04-01,Marketing,Facilities,19228.0,20010.71
2025-04-01,Marketing,Other OpEx,24288.0,24392.23
2025-04-01,R&D,Revenue,121128.0,116580.95
2025-04-01,R&D,COGS,50873.76,47373.18
2025-04-01,R&D,Payroll,255024.0,283723.46
2025-04-01,R&D,Software,39670.4,38388.31
2025-04-01,R&D,Travel,14168.0,15031.06
2025-04-01,R&D,Facilities,19228.0,18678.01
2025-04-01,R&D,Other OpEx,24288.0,26346.25
2025-04-01,Operations,Revenue,100940.0,103117.88
2025-04-01,Operations,COGS,42394.8,42821.79
2025-04-01,Operations,Payroll,182160.0,173978.59
2025-04-01,Operations,Software,28336.0,30151.51
2025-04-01,Operations,Travel,14168.0,13229.44
2025-04-01,Operations,Facilities,19228.0,18568.08
2025-04-01,Operations,Other OpEx,24288.0,25062.14
2025-04-01,G&A,Revenue,70658.0,74352.56
2025-04-01,G&A,COGS,29676.36,31711.41
2025-04-01,G&A,Payroll,182160.0,177796.15
2025-04-01,G&A,Software,28336.0,31267.98
2025-04-01,G&A,Travel,14168.0,13612.55
2025-04-01,G&A,Facilities,19228.0,17753.5
2025-04-01,G&A,Other OpEx,24288.0,23652.6
2025-05-01,Sales,Revenue,458640.0,460238.21
2025-05-01,Sales,COGS,192628.8,187370.31
2025-05-01,Sales,Payroll,182880.0,174696.26
2025-05-01,Sales,Software,28448.0,28270.4
2025-05-01,Sales,Travel,17068.8,17656.55
2025-05-01,Sales,Facilities,19304.0,18267.68
2025-05-01,Sales,Other OpEx,24384.0,24199.39
