OrderID,OrderDate,ProductID,SellerID,Device,Quantity,DiscountPct,GMV,MarketplaceRevenue,IsRefund
100000,2025-07-21,4,21,Mobile,3,0.05,62.84,6.81,0
100001,2025-08-02,45,49,Desktop,1,0.0,187.53,19.26,0
100002,2025-07-23,16,26,Tablet,1,0.05,129.94,12.7,0
100003,2025-07-19,112,76,Mobile,1,0.0,237.12,23.54,0
100004,2025-02-22,7,37,Tablet,3,0.0,543.03,53.54,0
100005,2025-04-08,99,48,Desktop,2,0.1,315.16,39.13,0
100006,2025-10-11,71,27,Tablet,1,0.15,167.96,18.27,0
100007,2025-03-12,83,37,Desktop,1,0.15,175.31,15.59,0
100008,2025-06-25,37,39,Desktop,2,0.2,389.68,38.27,0
100009,2025-06-04,62,72,Tablet,1,0.0,215.18,19.65,0
100010,2025-09-12,71,29,Desktop,3,0.2,474.24,52.88,0
100011,2025-04-09,32,12,Mobile,1,0.0,57.04,5.52,0
100012,2025-10-19,26,3,Tablet,2,0.0,334.82,44.27,0
100013,2025-05-19,44,8,Desktop,1,0.2,157.64,14.0,0
100014,2025-11-19,102,28,Mobile,1,0.0,150.92,16.3,0
100015,2025-06-09,109,3,Mobile,1,0.05,140.68,20.07,0
100016,2025-10-28,63,1,Mobile,1,0.15,206.86,28.5,0
100017,2025-08-18,32,14,Mobile,1,0.0,57.04,7.29,0
100018,2025-12-25,83,59,Mobile,1,0.0,206.25,27.79,0
100019,2025-01-20,83,39,Mobile,1,0.0,206.25,22.82,0
100020,2025-02-20,10,39,Tablet,3,0.0,372.99,36.65,0
100021,2025-01-01,2,69,Desktop,4,0.0,125.64,12.83,0
100022,2025-05-05,61,68,Mobile,1,0.0,108.95,11.86,0
100023,2025-01-29,3,25,Desktop,2,0.05,319.56,27.38,0
100024,2025-08-06,119,48,Mobile,1,0.05,236.7,30.84,0
100025,2025-07-22,26,1,Desktop,2,0.0,334.82,31.6,1
100026,2025-06-09,99,25,Mobile,1,0.0,175.09,24.91,0
100027,2025-11-16,64,79,Mobile,2,0.0,301.86,43.39,0
100028,2025-11-01,19,51,Mobile,1,0.2,122.2,10.99,0
100029,2025-01-31,24,51,Desktop,2,0.15,281.47,36.95,1
100030,2025-03-26,43,25,Mobile,1,0.0,110.96,12.51,0
100031,2025-07-13,108,48,Desktop,1,0.0,133.23,11.39,0
100032,2025-08-04,114,16,Tablet,3,0.0,229.47,24.09,0
100033,2025-08-10,12,7,Tablet,1,0.0,39.62,5.72,0
100034,2025-07-06,95,61,Mobile,1,0.0,189.54,23.46,0
100035,2025-07-12,5,60,Mobile,2,0.0,153.0,14.33,0
100036,2025-11-07,44,47,Desktop,1,0.2,157.64,13.09,0
100037,2025-12-20,41,36,Desktop,1,0.1,127.77,18.42,0
100038,2025-02-03,4,30,Mobile,1,0.2,17.64,2.59,0
100039,2025-05-09,117,56,Desktop,1,0.0,50.32,4.06,0
100040,2025-06-05,106,20,Tablet,1,0.1,117.71,13.21,0
100041,2025-11-02,11,66,Mobile,1,0.0,94.67,10.28,0
100042,2025-09-04,71,70,Desktop,1,0.0,197.6,17.26,0
100043,2025-11-16,11,27,Mobile,1,0.2,75.74,11.21,0
100044,2025-03-10,54,59,Tablet,2,0.0,225.66,26.56,0
100045,2025-03-04,100,38,Desktop,1,0.0,58.19,5.69,0
100046,2025-08-13,32,24,Mobile,1,0.0,57.04,8.19,0
100047,2025-02-03,51,33,Mobile,1,0.0,26.09,3.56,0
100048,2025-01-19,14,1,Desktop,2,0.0,326.5,36.37,0
100049,2025-05-31,30,16,Mobile,1,0.2,70.62,8.53,0
100050,2025-07-10,66,23,Desktop,1,0.1,90.31,11.43,0
100051,2025-11-23,77,80,Desktop,1,0.0,104.19,9.37,0
100052,2025-05-11,5,77,Tablet,1,0.0,76.5,6.18,0
100053,2025-12-14,48,24,Tablet,1,0.0,117.62,15.96,0
100054,2025-02-02,53,13,Desktop,1,0.0,18.83,2.21,0
