OrderID,OrderDate,ProductID,SellerID,Device,Quantity,DiscountPct,GMV,MarketplaceRevenue,IsRefund
100000,2025-07-05,88,29,Tablet,1,0.0,219.69,25.35,0
100001,2025-04-21,44,12,Tablet,2,0.15,314.72,34.94,0
100002,2025-02-23,107,41,Tablet,1,0.0,151.77,22.26,0
100003,2025-02-27,72,15,Tablet,1,0.0,25.32,3.63,0
100004,2025-10-09,62,1,Desktop,1,0.05,60.08,5.27,0
100005,2025-12-16,77,39,Desktop,4,0.05,133.19,15.18,0
100006,2025-04-08,106,2,Mobile,1,0.0,129.18,17.45,0
100007,2025-07-10,85,71,Desktop,1,0.0,276.44,40.53,0
100008,2025-08-09,92,19,Mobile,1,0.0,26.92,4.01,0
100009,2025-02-28,79,47,Mobile,1,0.0,209.92,18.9,0
100010,2025-03-02,115,42,Mobile,1,0.1,146.51,13.06,0
100011,2025-03-09,26,51,Desktop,4,0.0,272.28,39.08,0
100012,2025-07-08,120,30,Tablet,1,0.0,69.64,9.72,0
100013,2025-12-28,30,29,Desktop,1,0.1,41.28,4.38,0
100014,2025-07-28,25,76,Mobile,1,0.0,94.63,9.54,0
100015,2025-06-22,22,30,Mobile,3,0.1,542.7,52.88,0
100016,2025-12-20,56,76,Mobile,2,0.05,222.34,18.28,0
100017,2025-11-30,42,69,Tablet,2,0.0,498.08,49.77,0
100018,2025-03-27,95,18,Desktop,1,0.15,133.14,12.91,0
100019,2025-06-18,99,17,Tablet,1,0.05,17.79,2.33,0
100020,2025-11-03,18,50,Desktop,1,0.0,140.69,19.68,0
100021,2025-05-20,68,73,Mobile,1,0.0,131.92,11.11,0
100022,2025-10-03,44,52,Tablet,1,0.0,185.13,27.71,0
100023,2025-07-30,79,14,Desktop,4,0.0,839.68,109.96,0
100024,2025-09-05,107,62,Tablet,1,0.0,151.77,21.66,0
100025,2025-08-16,66,21,Tablet,1,0.05,183.72,19.26,1
100026,2025-08-12,58,29,Mobile,3,0.05,576.41,51.55,0
100027,2025-05-19,67,18,Desktop,1,0.05,128.58,12.92,0
100028,2025-09-20,45,63,Tablet,1,0.0,262.76,31.93,0
100029,2025-04-24,65,68,Tablet,2,0.15,284.07,30.61,0
100030,2025-12-26,119,24,Mobile,1,0.1,22.28,2.99,1
100031,2025-03-16,46,39,Mobile,1,0.0,53.38,4.93,0
100032,2025-09-19,34,28,Mobile,2,0.15,24.39,2.3,0
100033,2025-05-06,88,68,Tablet,1,0.0,219.69,18.9,0
100034,2025-07-23,39,6,Mobile,1,0.0,29.2,4.12,0
100035,2025-08-09,43,68,Desktop,1,0.0,183.78,18.37,0
100036,2025-05-06,46,39,Desktop,1,0.0,53.38,5.98,0
100037,2025-03-24,85,4,Tablet,2,0.0,552.88,52.54,0
100038,2025-01-08,58,59,Desktop,1,0.0,202.25,27.98,0
100039,2025-08-22,9,58,Mobile,1,0.0,123.07,16.58,0
100040,2025-03-22,75,59,Mobile,2,0.15,82.5,11.93,0
100041,2025-12-01,18,47,Mobile,1,0.1,126.62,17.17,0
100042,2025-10-20,39,56,Tablet,2,0.2,46.72,5.21,0
100043,2025-10-10,41,68,Desktop,1,0.0,227.51,28.12,0
100044,2025-06-23,57,51,Desktop,1,0.0,137.93,17.0,0
100045,2025-09-18,95,5,Tablet,2,0.0,313.28,36.21,0
100046,2025-02-28,3,35,Desktop,1,0.0,89.55,8.03,0
100047,2025-12-16,80,43,Tablet,1,0.0,84.75,11.46,0
100048,2025-08-31,16,44,Tablet,1,0.0,158.65,12.87,0
100049,2025-01-09,55,63,Mobile,3,0.0,246.66,26.98,0
100050,2025-03-24,17,52,Tablet,1,0.0,254.78,34.32,0
100051,2025-01-20,72,76,Tablet,1,0.0,25.32,2.04,0
100052,2025-02-17,97,7,Desktop,2,0.0,428.6,44.9,0
100053,2025-10-23,85,30,Tablet,1,0.05,262.62,31.11,0
100054,2025-04-06,37,36,Tablet,1,0.1,61.61,7.53,0
100055,2025-04-29,51,14,Desktop,1,0.0,37.35,4.05,0
100056,2025-12-24,104,68,Desktop,1,0.0,153.98,13.94,0
100057,2025-05-13,40,69,Mobile,1,0.1,192.11,27.22,0
100058,2025-06-13,91,17,Mobile,1,0.0,87.37,11.97,0
100059,2025-07-16,38,51,Desktop,1,0.2,14.86,1.42,0
100060,2025-10-06,48,52,Tablet,2,0.0,408.54,44.99,1
100061,2025-09-26,10,15,Mobile,1,0.2,100.33,14.97,0
100062,2025-10-06,9,59,Desktop,2,0.0,246.14,27.79,0
100063,2025-08-25,93,21,Desktop,2,0.0,86.34,12.74,1
100064,2025-05-21,46,48,Tablet,1,0.05,50.71,6.13,0
100065,2025-08-03,102,25,Desktop,2,0.0,407.78,40.68,0
100066,2025-08-03,119,59,Mobile,1,0.0,24.76,3.39,0
100067,2025-12-23,78,53,Desktop,1,0.05,161.87,14.34,0
100068,2025-10-24,96,18,Desktop,1,0.0,67.95,6.47,0
100069,2025-02-01,93,46,Tablet,1,0.05,41.01,3.66,0
100070,2025-08-11,16,15,Mobile,3,0.0,475.95,47.06,0
100071,2025-06-23,104,51,Tablet,1,0.0,153.98,16.82,0
100072,2025-03-16,51,37,Mobile,1,0.0,37.35,3.45,0
100073,2025-03-01,97,56,Tablet,1,0.0,214.3,24.55,0
100074,2025-02-02,79,45,Tablet,1,0.0,209.92,31.21,0
100075,2025-09-16,60,33,Mobile,1,0.15,42.11,5.03,0
100076,2025-09-04,4,62,Tablet,1,0.0,40.85,3.84,0
100077,2025-06-05,103,78,Desktop,2,0.2,126.94,16.94,0
100078,2025-11-21,110,26,Mobile,1,0.0,126.08,15.71,0
100079,2025-08-11,68,55,Tablet,3,0.0,395.76,32.54,0
100080,2025-12-27,74,72,Desktop,2,0.0,79.18,11.88,0
100081,2025-12-31,95,23,Mobile,2,0.0,313.28,30.32,0
100082,2025-02-11,56,55,Tablet,1,0.0,117.02,14.52,0
100083,2025-07-13,71,32,Tablet,2,0.0,303.1,38.91,0
100084,2025-12-25,6,80,Desktop,2,0.0,36.26,3.61,0
100085,2025-04-19,28,54,Tablet,1,0.1,119.64,10.68,0
100086,2025-09-10,94,61,Desktop,1,0.0,79.55,10.93,0
100087,2025-10-21,21,12,Mobile,3,0.0,410.64,57.17,0
100088,2025-10-11,42,55,Tablet,1,0.0,249.04,20.26,0
100089,2025-06-06,55,78,Tablet,1,0.15,69.89,5.88,0
100090,2025-12-04,40,3,Mobile,3,0.0,640.38,61.97,0
100091,2025-05-29,74,10,Mobile,1,0.0,39.59,3.26,0
100092,2025-04-23,39,3,Desktop,1,0.0,29.2,2.74,0
100093,2025-02-17,102,74,Mobile,2,0.1,367.0,34.07,0
100094,2025-12-09,51,62,Desktop,3,0.0,112.05,9.11,0
100095,2025-08-20,106,4,Desktop,1,0.0,129.18,18.62,0
100096,2025-04-25,117,58,Desktop,1,0.0,96.53,8.81,0
100097,2025-10-28,76,5,Tablet,1,0.0,134.63,14.23,0
100098,2025-03-17,54,75,Desktop,2,0.0,342.1,48.11,0
100099,2025-06-02,61,66,Tablet,1,0.0,207.81,23.02,0
100100,2025-12-28,57,60,Tablet,2,0.0,275.86,39.37,0
100101,2025-05-14,74,10,Tablet,1,0.2,31.67,3.76,0
100102,2025-11-13,23,21,Mobile,1,0.0,139.47,14.55,0
100103,2025-05-24,90,49,Desktop,1,0.0,196.48,26.04,0
100104,2025-03-17,68,52,Mobile,1,0.15,112.13,9.67,0
100105,2025-11-19,73,5,Tablet,2,0.0,144.82,21.34,0
100106,2025-12-07,10,14,Desktop,1,0.0,125.41,14.49,0
100107,2025-01-15,49,7,Desktop,1,0.15,84.07,9.37,0
100108,2025-08-24,55,19,Mobile,2,0.1,148.0,12.82,0
100109,2025-09-07,12,60,Mobile,1,0.1,211.91,24.18,0
100110,2025-04-09,30,76,Desktop,2,0.05,87.15,12.13,0
100111,2025-04-21,64,12,Mobile,1,0.0,198.21,29.14,0
100112,2025-03-21,22,8,Desktop,1,0.0,201.0,29.82,0
100113,2025-02-12,71,46,Tablet,2,0.0,303.1,38.42,0
100114,2025-06-06,52,20,Desktop,2,0.2,212.05,27.73,0
100115,2025-12-16,28,21,Desktop,2,0.1,239.27,26.66,0
100116,2025-05-11,6,25,Mobile,1,0.0,18.13,2.03,0
100117,2025-04-13,65,75,Tablet,1,0.05,158.74,14.03,0
100118,2025-10-23,7,65,Tablet,2,0.2,413.87,53.66,0
100119,2025-10-05,61,16,Tablet,1,0.0,207.81,22.69,0
100120,2025-02-26,89,21,Mobile,1,0.0,28.9,2.48,0
100121,2025-03-09,74,38,Desktop,1,0.2,31.67,2.98,1
100122,2025-03-13,34,56,Desktop,3,0.0,43.05,3.54,0
100123,2025-12-09,24,21,Mobile,1,0.05,198.64,22.44,0
100124,2025-07-04,74,32,Desktop,1,0.0,39.59,5.92,0
100125,2025-08-23,6,75,Tablet,1,0.1,16.32,1.5,0
100126,2025-08-01,39,79,Tablet,2,0.0,58.4,5.47,0
100127,2025-11-16,99,64,Tablet,1,0.05,17.79,2.09,0
100128,2025-01-22,60,53,Desktop,2,0.0,99.08,13.61,0
100129,2025-03-23,60,79,Tablet,1,0.0,49.54,7.01,0
100130,2025-03-27,120,56,Mobile,1,0.0,69.64,9.12,0
100131,2025-04-28,11,39,Desktop,1,0.2,150.74,13.02,0
100132,2025-07-02,34,9,Mobile,2,0.0,28.7,3.77,0
100133,2025-10-03,100,22,Tablet,2,0.15,124.02,13.73,0
100134,2025-05-12,25,58,Mobile,1,0.15,80.44,6.75,0
100135,2025-12-07,50,2,Mobile,2,0.0,484.96,53.52,0
100136,2025-09-03,10,52,Desktop,2,0.0,250.82,30.98,0
100137,2025-03-23,32,32,Tablet,1,0.05,235.13,26.97,0
100138,2025-12-13,2,74,Mobile,1,0.0,149.08,13.44,0
100139,2025-01-29,78,62,Desktop,2,0.0,340.78,46.16,1
100140,2025-03-16,104,55,Mobile,1,0.0,153.98,17.18,0
100141,2025-04-16,56,78,Desktop,2,0.0,234.04,33.37,0
100142,2025-09-15,97,16,Desktop,3,0.15,546.47,75.79,0
100143,2025-12-31,85,48,Mobile,1,0.0,276.44,27.05,0
100144,2025-12-01,84,25,Desktop,2,0.0,350.88,52.01,0
100145,2025-11-08,102,35,Mobile,1,0.2,163.11,23.02,0
100146,2025-03-19,60,78,Desktop,1,0.05,47.06,4.84,0
100147,2025-11-14,22,72,Desktop,1,0.0,201.0,20.35,0
100148,2025-05-08,108,7,Mobile,1,0.0,266.6,36.75,0
100149,2025-02-04,4,19,Mobile,2,0.2,65.36,8.18,0
100150,2025-11-08,71,52,Desktop,2,0.0,303.1,38.49,0
100151,2025-03-22,65,53,Desktop,2,0.0,334.2,47.26,0
100152,2025-03-18,25,38,Desktop,1,0.0,94.63,8.18,0
100153,2025-12-15,78,24,Desktop,1,0.05,161.87,14.71,0
100154,2025-02-25,16,62,Tablet,1,0.0,158.65,13.29,0
100155,2025-02-02,26,16,Mobile,1,0.0,68.07,10.07,1
100156,2025-05-10,34,58,Tablet,1,0.05,13.63,1.72,0
100157,2025-07-09,100,18,Mobile,1,0.0,72.95,8.43,0
100158,2025-04-20,35,47,Tablet,2,0.0,179.32,17.77,0
100159,2025-06-28,87,48,Desktop,1,0.2,15.18,2.02,0
100160,2025-03-08,69,44,Desktop,1,0.0,239.61,21.82,0
100161,2025-12-30,64,42,Desktop,1,0.0,198.21,22.93,0
100162,2025-11-02,52,64,Desktop,1,0.05,125.9,11.12,0
100163,2025-05-15,63,72,Mobile,1,0.0,169.98,14.59,0
100164,2025-07-11,50,60,Mobile,1,0.0,242.48,33.04,0
100165,2025-09-07,16,71,Tablet,3,0.0,475.95,67.57,0
100166,2025-02-27,36,48,Desktop,2,0.0,329.26,40.85,0
100167,2025-04-14,1,42,Desktop,1,0.1,21.23,1.9,0
100168,2025-03-24,41,42,Desktop,1,0.0,227.51,23.23,0
100169,2025-05-25,59,79,Mobile,1,0.0,169.47,21.67,0
100170,2025-12-01,60,28,Tablet,1,0.15,42.11,4.22,0
100171,2025-02-12,13,36,Mobile,1,0.05,70.68,7.61,0
100172,2025-05-27,14,56,Mobile,1,0.0,40.87,5.93,0
100173,2025-11-27,103,27,Tablet,1,0.0,79.34,11.23,0
100174,2025-05-25,89,10,Mobile,2,0.0,57.8,6.64,0
100175,2025-11-02,6,65,Tablet,1,0.0,18.13,2.27,0
100176,2025-07-15,115,38,Tablet,1,0.0,162.79,18.43,0
100177,2025-11-10,18,72,Desktop,2,0.0,281.38,25.47,0
100178,2025-11-23,6,5,Tablet,3,0.0,54.39,7.9,0
100179,2025-06-27,47,72,Mobile,1,0.1,134.52,12.2,0
100180,2025-12-18,19,12,Mobile,1,0.0,126.78,11.16,0
100181,2025-05-07,69,59,Desktop,1,0.0,239.61,32.1,0
100182,2025-05-19,50,22,Tablet,1,0.2,193.98,27.64,0
100183,2025-08-26,3,10,Tablet,1,0.0,89.55,13.32,0
100184,2025-06-20,119,47,Desktop,1,0.15,21.05,2.16,0
100185,2025-08-10,34,9,Desktop,1,0.15,12.2,1.79,0
100186,2025-12-26,92,39,Mobile,1,0.0,26.92,2.42,0
100187,2025-01-08,47,20,Desktop,1,0.0,149.47,11.97,0
100188,2025-04-20,72,7,Desktop,2,0.1,45.58,6.33,0
100189,2025-12-19,32,41,Mobile,1,0.0,247.51,32.86,0
100190,2025-03-02,81,44,Tablet,2,0.0,303.0,29.39,0
100191,2025-08-06,51,71,Mobile,1,0.15,31.75,4.57,0
100192,2025-11-30,2,26,Desktop,1,0.0,149.08,14.14,0
100193,2025-07-27,90,21,Tablet,1,0.0,196.48,22.83,0
100194,2025-10-04,98,52,Desktop,1,0.15,58.09,6.08,0
100195,2025-10-02,6,18,Tablet,2,0.15,30.82,2.79,0
