ProductID,SKU,Category,ListPrice,UnitCost
1,P0001,Beauty,251.17,118.27
2,P0002,Toys,94.21,51.33
3,P0003,Beauty,46.92,23.37
4,P0004,Sports,15.77,9.54
5,P0005,Electronics,40.38,28.08
6,P0006,Sports,124.89,72.21
7,P0007,Apparel,127.59,82.0
8,P0008,Home & Kitchen,221.87,132.52
9,P0009,Apparel,58.08,29.27
10,P0010,Apparel,109.23,69.9
11,P0011,Beauty,271.57,141.3
12,P0012,Beauty,165.56,108.2
13,P0013,Home & Kitchen,204.4,122.16
14,P0014,Sports,193.09,94.79
15,P0015,Home & Kitchen,155.0,95.84
16,P0016,Toys,64.42,30.83
17,P0017,Electronics,126.21,74.72
18,P0018,Toys,87.2,52.1
19,P0019,Electronics,111.07,57.99
20,P0020,Beauty,251.74,141.9
21,P0021,Home & Kitchen,81.26,38.74
22,P0022,Electronics,201.51,132.42
23,P0023,Home & Kitchen,99.97,48.55
24,P0024,Apparel,170.84,117.26
25,P0025,Home & Kitchen,132.42,60.71
26,P0026,Apparel,123.55,56.32
27,P0027,Home & Kitchen,196.17,136.03
28,P0028,Apparel,266.29,155.69
29,P0029,Sports,212.74,114.14
30,P0030,Sports,143.48,65.89
31,P0031,Beauty,136.88,68.33
32,P0032,Sports,266.72,134.42
33,P0033,Electronics,161.1,98.65
34,P0034,Apparel,157.7,103.01
35,P0035,Beauty,38.8,19.06
36,P0036,Electronics,131.18,70.27
37,P0037,Sports,230.09,155.03
38,P0038,Apparel,229.21,107.13
39,P0039,Apparel,211.86,124.25
40,P0040,Sports,121.78,78.29
41,P0041,Toys,175.43,81.2
42,P0042,Beauty,41.06,24.96
43,P0043,Beauty,270.6,171.07
44,P0044,Sports,78.56,54.04
45,P0045,Electronics,102.55,63.8
46,P0046,Electronics,75.0,44.27
47,P0047,Sports,226.28,157.73
48,P0048,Beauty,13.06,7.11
49,P0049,Home & Kitchen,212.78,117.12
50,P0050,Apparel,20.09,12.33
51,P0051,Apparel,125.24,58.92
52,P0052,Apparel,86.31,51.73
53,P0053,Toys,205.08,101.39
54,P0054,Toys,91.81,61.94
55,P0055,Electronics,72.7,33.85
56,P0056,Sports,113.13,51.41
57,P0057,Sports,174.16,91.07
58,P0058,Beauty,121.17,78.9
59,P0059,Beauty,269.2,144.11
60,P0060,Sports,23.47,15.77
61,P0061,Apparel,140.04,82.4
62,P0062,Beauty,156.4,97.4
63,P0063,Sports,70.23,36.24
64,P0064,Home & Kitchen,146.66,70.04
65,P0065,Sports,277.26,144.0
66,P0066,Sports,14.03,6.44
67,P0067,Electronics,78.36,54.51
68,P0068,Apparel,137.82,76.04
69,P0069,Electronics,85.87,46.42
70,P0070,Home & Kitchen,178.7,115.26
71,P0071,Home & Kitchen,209.86,115.2
72,P0072,Apparel,108.79,75.77
73,P0073,Toys,257.27,157.88
74,P0074,Home & Kitchen,22.99,11.04
75,P0075,Apparel,60.94,27.71
76,P0076,Toys,195.04,133.22
77,P0077,Beauty,137.66,86.35
78,P0078,Toys,225.04,103.94
79,P0079,Electronics,173.58,103.77
80,P0080,Beauty,19.86,10.68
81,P0081,Home & Kitchen,241.66,121.2
82,P0082,Sports,277.87,177.66
83,P0083,Home & Kitchen,154.94,103.0
84,P0084,Sports,189.79,110.63
85,P0085,Home & Kitchen,211.61,144.18
86,P0086,Beauty,134.34,82.61
87,P0087,Apparel,46.62,25.41
88,P0088,Beauty,234.71,107.94
89,P0089,Sports,105.87,53.21
90,P0090,Apparel,155.4,78.11
91,P0091,Sports,125.28,57.65
92,P0092,Apparel,126.53,82.97
93,P0093,Toys,261.52,141.65
94,P0094,Beauty,21.4,11.21
95,P0095,Home & Kitchen,118.88,64.41
96,P0096,Sports,271.3,158.47
97,P0097,Toys,181.19,118.4
98,P0098,Home & Kitchen,258.25,179.57
99,P0099,Apparel,219.22,152.42
100,P0100,Sports,237.17,129.93
101,P0101,Sports,80.23,50.89
102,P0102,Sports,116.66,80.92
103,P0103,Apparel,192.01,133.47
104,P0104,Beauty,204.75,99.49
105,P0105,Electronics,213.32,139.28
106,P0106,Sports,157.39,75.6
107,P0107,Electronics,125.5,78.01
108,P0108,Apparel,226.04,108.35
109,P0109,Electronics,213.06,128.18
110,P0110,Toys,185.01,122.66
111,P0111,Beauty,83.98,43.76
112,P0112,Sports,256.48,175.53
113,P0113,Toys,91.13,62.94
114,P0114,Electronics,71.01,43.83
115,P0115,Toys,53.02,32.99
116,P0116,Home & Kitchen,190.77,91.21
117,P0117,Beauty,271.86,129.87
118,P0118,Toys,33.26,15.64
119,P0119,Electronics,204.94,141.26
120,P0120,Apparel,21.46,11.08
