SellerID,SellerCode,SellerTier,SellerRating,Region
1,S001,Silver,4.15,Northeast
2,S002,Gold,3.86,Northeast
3,S003,Silver,3.77,Southeast
4,S004,Bronze,4.56,Southeast
5,S005,Bronze,4.8,West
6,S006,Silver,4.59,West
7,S007,Silver,4.15,Northeast
8,S008,Silver,3.78,Northeast
9,S009,Bronze,4.36,West
10,S010,Silver,4.87,Northeast
11,S011,Gold,3.71,Midwest
12,S012,Bronze,4.53,Northeast
13,S013,Gold,3.87,Northeast
14,S014,Bronze,3.78,West
15,S015,Silver,3.74,Southwest
16,S016,Silver,3.86,Southeast
17,S017,Silver,4.3,West
18,S018,Silver,4.76,Southeast
19,S019,Gold,3.95,West
20,S020,Bronze,4.36,Southeast
21,S021,Bronze,4.16,Northeast
22,S022,Bronze,4.25,Midwest
23,S023,Silver,3.73,Southeast
24,S024,Bronze,4.42,Southwest
25,S025,Bronze,3.81,West
26,S026,Silver,4.04,West
27,S027,Silver,4.89,Southeast
28,S028,Silver,3.8,West
29,S029,Bronze,3.64,Northeast
30,S030,Bronze,3.67,Midwest
31,S031,Bronze,3.87,Midwest
32,S032,Bronze,4.64,Southwest
33,S033,Silver,3.74,West
34,S034,Silver,4.09,Northeast
35,S035,Bronze,4.74,Northeast
36,S036,Bronze,4.72,Midwest
37,S037,Silver,3.74,Midwest
38,S038,Platinum,4.42,Southeast
39,S039,Bronze,3.77,Midwest
40,S040,Silver,4.84,West
41,S041,Silver,4.42,West
42,S042,Bronze,4.56,West
43,S043,Bronze,4.54,Southeast
44,S044,Gold,4.76,Midwest
45,S045,Silver,4.74,Southwest
46,S046,Bronze,4.8,Southwest
47,S047,Silver,4.7,Midwest
48,S048,Bronze,3.62,West
49,S049,Bronze,4.88,Southwest
50,S050,Gold,4.68,West
51,S051,Bronze,4.42,Midwest
52,S052,Bronze,4.8,Southeast
53,S053,Silver,4.88,Southeast
54,S054,Bronze,4.02,Southwest
55,S055,Bronze,4.31,West
56,S056,Bronze,4.57,Southwest
57,S057,Gold,4.37,Northeast
58,S058,Bronze,3.77,Southeast
59,S059,Bronze,4.17,Southeast
60,S060,Bronze,3.73,Midwest
61,S061,Bronze,4.34,Southwest
62,S062,Gold,4.9,Southeast
63,S063,Gold,4.59,West
64,S064,Silver,3.97,West
65,S065,Bronze,4.45,Southeast
66,S066,Silver,4.7,Southwest
67,S067,Silver,4.43,Northeast
68,S068,Bronze,3.62,Midwest
69,S069,Gold,4.7,Southwest
70,S070,Silver,4.31,Southeast
71,S071,Silver,3.85,Northeast
72,S072,Bronze,4.64,Southeast
73,S073,Bronze,4.89,West
74,S074,Gold,3.6,Midwest
75,S075,Bronze,4.28,Southeast
76,S076,Gold,4.89,Southwest
77,S077,Silver,3.75,Southeast
78,S078,Gold,4.87,Southwest
79,S079,Bronze,4.56,Midwest
80,S080,Bronze,4.68,Southeast
