OrderID,OrderDate,ProductID,SellerID,Device,Quantity,DiscountPct,GMV,MarketplaceRevenue,IsRefund
100000,2025-04-22,31,1,Tablet,1,0.0,136.88,14.92,1
100001,2025-07-30,25,26,Mobile,2,0.15,225.11,19.13,0
100002,2025-04-03,48,5,Tablet,1,0.0,13.06,1.68,0
100003,2025-11-18,99,11,Mobile,1,0.1,197.3,17.62,0
100004,2025-04-10,14,11,Mobile,3,0.1,521.34,67.06,0
100005,2025-05-17,64,63,Tablet,2,0.1,263.99,37.22,0
100006,2025-03-29,1,42,Tablet,2,0.0,502.34,69.07,0
100007,2025-05-04,41,78,Tablet,1,0.0,175.43,25.45,0
100008,2025-12-08,119,65,Mobile,1,0.0,204.94,27.79,0
100009,2025-12-25,106,41,Tablet,4,0.05,598.08,60.93,0
100010,2025-04-25,54,31,Tablet,3,0.0,275.43,38.8,0
100011,2025-10-20,49,53,Mobile,1,0.15,180.86,16.49,0
100012,2025-12-22,15,70,Mobile,1,0.05,147.25,16.73,0
100013,2025-02-18,68,29,Mobile,1,0.2,110.26,12.94,0
100014,2025-12-28,96,67,Desktop,3,0.0,813.9,73.93,0
100015,2025-10-05,21,48,Tablet,2,0.15,138.14,15.68,0
100016,2025-07-20,4,6,Mobile,2,0.0,31.54,3.78,0
100017,2025-03-17,59,4,Tablet,2,0.0,538.4,61.25,0
100018,2025-10-07,105,58,Tablet,1,0.0,213.32,22.26,0
100019,2025-10-13,115,54,Desktop,1,0.0,53.02,5.43,0
100020,2025-06-02,43,25,Mobile,1,0.05,257.07,25.82,0
100021,2025-05-05,26,12,Mobile,1,0.2,98.84,8.26,1
100022,2025-02-10,29,10,Tablet,1,0.0,212.74,18.66,0
100023,2025-11-06,89,15,Mobile,1,0.0,105.87,10.3,0
100024,2025-12-25,40,35,Mobile,1,0.0,121.78,16.73,0
100025,2025-08-10,69,74,Desktop,1,0.05,81.58,7.55,0
100026,2025-07-25,80,51,Tablet,2,0.0,39.72,5.59,0
100027,2025-08-31,16,76,Tablet,2,0.0,128.84,17.63,0
100028,2025-11-15,24,3,Desktop,1,0.0,170.84,17.76,0
100029,2025-12-09,73,45,Desktop,1,0.0,257.27,24.36,0
100030,2025-11-27,54,41,Desktop,1,0.0,91.81,12.15,0
100031,2025-07-01,118,3,Desktop,2,0.05,63.19,5.4,0
100032,2025-03-24,91,3,Desktop,1,0.0,125.28,10.21,0
100033,2025-10-30,39,47,Mobile,2,0.0,423.72,42.23,0
100034,2025-05-01,104,54,Desktop,1,0.0,204.75,19.12,0
100035,2025-09-13,10,11,Mobile,1,0.15,92.85,11.86,0
100036,2025-01-23,98,15,Desktop,3,0.05,736.01,59.74,0
100037,2025-03-01,119,80,Tablet,3,0.15,522.6,54.74,0
100038,2025-09-30,42,44,Mobile,2,0.1,73.91,7.84,0
100039,2025-04-30,40,49,Mobile,1,0.05,115.69,13.37,0
100040,2025-11-29,16,67,Tablet,2,0.05,122.4,14.36,0
100041,2025-03-08,65,52,Desktop,1,0.05,263.4,36.37,0
100042,2025-10-27,7,7,Tablet,1,0.0,127.59,14.28,0
100043,2025-04-30,24,58,Mobile,1,0.0,170.84,19.55,0
100044,2025-02-01,13,2,Desktop,1,0.0,204.4,24.68,0
100045,2025-11-08,87,29,Desktop,2,0.0,93.24,8.73,0
100046,2025-07-20,58,10,Mobile,3,0.05,345.33,37.57,0
100047,2025-10-02,65,59,Desktop,1,0.1,249.53,22.52,0
100048,2025-02-15,1,3,Desktop,1,0.0,251.17,28.34,0
100049,2025-01-10,95,60,Mobile,1,0.0,118.88,14.01,0
100050,2025-01-28,94,9,Mobile,1,0.05,20.33,2.46,0
100051,2025-10-03,110,34,Desktop,1,0.0,185.01,15.38,0
100052,2025-02-23,99,20,Desktop,1,0.0,219.22,21.21,0
100053,2025-06-12,115,58,Mobile,2,0.0,106.04,11.41,0
100054,2025-10-21,111,32,Mobile,2,0.0,167.96,22.85,0
100055,2025-07-28,10,39,Mobile,1,0.15,92.85,11.67,0
100056,2025-06-19,42,68,Desktop,1,0.0,41.06,3.91,0
100057,2025-01-27,114,65,Mobile,1,0.0,71.01,9.96,0
100058,2025-08-25,16,19,Tablet,2,0.0,128.84,18.66,0
100059,2025-07-31,111,57,Desktop,1,0.0,83.98,9.14,0
100060,2025-09-07,110,42,Desktop,1,0.0,185.01,27.42,0
100061,2025-02-27,46,36,Desktop,1,0.0,75.0,7.66,0
100062,2025-09-05,58,78,Tablet,1,0.0,121.17,17.71,0
100063,2025-10-10,21,12,Desktop,1,0.1,73.13,8.32,0
100064,2025-06-12,77,45,Tablet,3,0.0,412.98,51.43,0
100065,2025-04-21,69,46,Tablet,1,0.0,85.87,11.76,0
100066,2025-05-24,58,28,Mobile,1,0.0,121.17,14.19,0
100067,2025-12-17,70,7,Mobile,1,0.0,178.7,18.46,0
100068,2025-01-08,76,66,Mobile,1,0.1,175.54,17.31,0
100069,2025-05-17,8,37,Desktop,1,0.05,210.78,31.15,0
100070,2025-02-02,111,17,Mobile,1,0.0,83.98,10.15,0
100071,2025-10-07,119,45,Tablet,3,0.0,614.82,64.72,0
100072,2025-05-29,79,18,Desktop,1,0.0,173.58,16.84,0
100073,2025-03-01,44,61,Tablet,3,0.0,235.68,25.03,0
100074,2025-05-27,41,43,Desktop,1,0.0,175.43,20.34,0
100075,2025-04-08,45,11,Desktop,1,0.0,102.55,9.32,0
100076,2025-04-29,69,75,Desktop,1,0.0,85.87,11.27,0
100077,2025-06-10,40,12,Tablet,1,0.0,121.78,12.82,0
100078,2025-01-07,105,19,Tablet,1,0.15,181.32,16.76,0
100079,2025-12-15,80,22,Desktop,1,0.1,17.87,1.53,0
100080,2025-03-22,57,56,Desktop,1,0.15,148.04,15.0,0
100081,2025-03-01,13,1,Tablet,1,0.0,204.4,24.92,0
100082,2025-09-16,78,61,Tablet,4,0.0,900.16,88.53,0
100083,2025-12-04,42,31,Mobile,1,0.05,39.01,4.57,0
100084,2025-01-14,17,75,Desktop,1,0.0,126.21,15.48,1
100085,2025-03-19,84,23,Mobile,1,0.05,180.3,24.22,0
100086,2025-01-18,26,26,Tablet,1,0.0,123.55,18.1,0
100087,2025-03-19,104,50,Mobile,2,0.1,368.55,46.14,0
100088,2025-06-04,33,28,Mobile,1,0.1,144.99,14.95,0
100089,2025-10-06,61,55,Mobile,1,0.0,140.04,19.59,0
100090,2025-08-30,66,69,Desktop,2,0.0,28.06,3.87,0
100091,2025-06-20,69,20,Desktop,1,0.0,85.87,6.88,0
100092,2025-07-20,116,38,Desktop,1,0.0,190.77,27.92,0
100093,2025-01-02,87,13,Mobile,1,0.0,46.62,5.72,0
100094,2025-10-27,48,22,Desktop,1,0.0,13.06,1.94,0
100095,2025-01-03,67,70,Tablet,1,0.0,78.36,6.44,0
